{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.909722, tr: 0:00:00.002001, image save only}
{X: 192, Y: 144, PayloadSize: 110, Method: None, Experiment: udp_res144p_payload_110, transmission: udp, seq_bytes: 1, t: 0:00:03.022309, tr: 0:00:00.001000, MSE: 18003.844401041668, SSIM: 0.13898908449415154}
{X: 192, Y: 144, PayloadSize: 115, Method: None, Experiment: tcp_res144p_payload_115, transmission: tcp, seq_bytes: 0, t: 0:00:16.999139, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 115, Method: None, Experiment: udp_res144p_payload_115, transmission: udp, seq_bytes: 1, t: 0:00:03.942975, tr: 0:00:00.002001, MSE: 18833.597113715277, SSIM: 0.11064787690404505}
{X: 192, Y: 144, PayloadSize: 120, Method: None, Experiment: tcp_res144p_payload_120, transmission: tcp, seq_bytes: 0, t: 0:00:16.300638, tr: 0:00:00.001003, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 120, Method: None, Experiment: udp_res144p_payload_120, transmission: udp, seq_bytes: 1, t: 0:00:03.659812, tr: 0:00:00.002001, MSE: 17751.449544270832, SSIM: 0.12303982425876989}
{X: 192, Y: 144, PayloadSize: 125, Method: None, Experiment: tcp_res144p_payload_125, transmission: tcp, seq_bytes: 0, t: 0:00:15.721827, tr: 0:00:00.003000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 125, Method: None, Experiment: udp_res144p_payload_125, transmission: udp, seq_bytes: 1, t: 0:00:03.365783, tr: 0:00:00.002000, MSE: 21397.596028645832, SSIM: 0.10085279348002538}
{X: 192, Y: 144, PayloadSize: 130, Method: None, Experiment: tcp_res144p_payload_130, transmission: tcp, seq_bytes: 0, t: 0:00:15.109460, tr: 0:00:00.001001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 130, Method: None, Experiment: udp_res144p_payload_130, transmission: udp, seq_bytes: 1, t: 0:00:03.203479, tr: 0:00:00.001996, MSE: 19608.12033420139, SSIM: 0.12350941221310799}
{X: 192, Y: 144, PayloadSize: 135, Method: None, Experiment: tcp_res144p_payload_135, transmission: tcp, seq_bytes: 0, t: 0:00:14.506907, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 135, Method: None, Experiment: udp_res144p_payload_135, transmission: udp, seq_bytes: 1, t: 0:00:02.873901, tr: 0:00:00.002003, MSE: 25615.848524305555, SSIM: 0.06931796742005981}
{X: 192, Y: 144, PayloadSize: 140, Method: None, Experiment: tcp_res144p_payload_140, transmission: tcp, seq_bytes: 0, t: 0:00:13.988027, tr: 0:00:00.002001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 140, Method: None, Experiment: udp_res144p_payload_140, transmission: udp, seq_bytes: 1, t: 0:00:03.001500, tr: 0:00:00.002985, MSE: 17602.04220920139, SSIM: 0.13293865591170886}
{X: 192, Y: 144, PayloadSize: 145, Method: None, Experiment: tcp_res144p_payload_145, transmission: tcp, seq_bytes: 0, t: 0:00:13.710726, tr: 0:00:00.003001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 145, Method: None, Experiment: udp_res144p_payload_145, transmission: udp, seq_bytes: 1, t: 0:00:03.046517, tr: 0:00:00.001999, MSE: 53889.8203125, SSIM: 0.0953015958907775}
{X: 192, Y: 144, PayloadSize: 150, Method: None, Experiment: tcp_res144p_payload_150, transmission: tcp, seq_bytes: 0, t: 0:00:13.146078, tr: 0:00:00.002002, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 150, Method: None, Experiment: udp_res144p_payload_150, transmission: udp, seq_bytes: 1, t: 0:00:02.981889, tr: 0:00:00.001999, MSE: 28036.585394965277, SSIM: 0.09415403415428107}
{X: 192, Y: 144, PayloadSize: 155, Method: None, Experiment: tcp_res144p_payload_155, transmission: tcp, seq_bytes: 0, t: 0:00:12.756061, tr: 0:00:00.001000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 155, Method: None, Experiment: udp_res144p_payload_155, transmission: udp, seq_bytes: 1, t: 0:00:02.580007, tr: 0:00:00.003001, MSE: 25625.172743055555, SSIM: 0.06782526258559686}
{X: 192, Y: 144, PayloadSize: 160, Method: None, Experiment: tcp_res144p_payload_160, transmission: tcp, seq_bytes: 0, t: 0:00:12.849364, tr: 0:00:00.001998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 160, Method: None, Experiment: udp_res144p_payload_160, transmission: udp, seq_bytes: 1, t: 0:00:02.772561, tr: 0:00:00.003999, MSE: 81507.9013671875, SSIM: 0.10445278937326972}
{X: 192, Y: 144, PayloadSize: 165, Method: None, Experiment: tcp_res144p_payload_165, transmission: tcp, seq_bytes: 0, t: 0:00:18.605965, tr: 0:00:00.002001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 165, Method: None, Experiment: udp_res144p_payload_165, transmission: udp, seq_bytes: 1, t: 0:00:02.958246, tr: 0:00:00.002000, MSE: 17657.30251736111, SSIM: 0.13428742991214915}
{X: 192, Y: 144, PayloadSize: 170, Method: None, Experiment: tcp_res144p_payload_170, transmission: tcp, seq_bytes: 0, t: 0:00:17.832108, tr: 0:00:00.000998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 170, Method: None, Experiment: udp_res144p_payload_170, transmission: udp, seq_bytes: 1, t: 0:00:02.733804, tr: 0:00:00.001999, MSE: 16945.902452256945, SSIM: 0.14145061221561703}
{X: 192, Y: 144, PayloadSize: 175, Method: None, Experiment: tcp_res144p_payload_175, transmission: tcp, seq_bytes: 0, t: 0:00:17.395496, tr: 0:00:00.002002, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 175, Method: None, Experiment: udp_res144p_payload_175, transmission: udp, seq_bytes: 1, t: 0:00:03.290111, tr: 0:00:00.003002, MSE: 18130.851236979168, SSIM: 0.1355682829960024}
{X: 192, Y: 144, PayloadSize: 180, Method: None, Experiment: tcp_res144p_payload_180, transmission: tcp, seq_bytes: 0, t: 0:00:16.829393, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 180, Method: None, Experiment: udp_res144p_payload_180, transmission: udp, seq_bytes: 1, t: 0:00:03.576199, tr: 0:00:00.001998, MSE: 59952.65972222222, SSIM: 0.09623585006817621}
{X: 192, Y: 144, PayloadSize: 185, Method: None, Experiment: tcp_res144p_payload_185, transmission: tcp, seq_bytes: 0, t: 0:00:16.480007, tr: 0:00:00.002002, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 185, Method: None, Experiment: udp_res144p_payload_185, transmission: udp, seq_bytes: 1, t: 0:00:02.907186, tr: 0:00:00.002001, MSE: 75162.53266059028, SSIM: 0.10574328666741938}
{X: 192, Y: 144, PayloadSize: 190, Method: None, Experiment: tcp_res144p_payload_190, transmission: tcp, seq_bytes: 0, t: 0:00:16.091699, tr: 0:00:00.002001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 190, Method: None, Experiment: udp_res144p_payload_190, transmission: udp, seq_bytes: 1, t: 0:00:03.593545, tr: 0:00:00.001997, MSE: 79562.82454427083, SSIM: 0.10594457261863839}
{X: 192, Y: 144, PayloadSize: 195, Method: None, Experiment: tcp_res144p_payload_195, transmission: tcp, seq_bytes: 0, t: 0:00:15.809388, tr: 0:00:00.000998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 195, Method: None, Experiment: udp_res144p_payload_195, transmission: udp, seq_bytes: 1, t: 0:00:03.035953, tr: 0:00:00.002000, MSE: 33519.890516493055, SSIM: 0.1082877198819213}
{X: 192, Y: 144, PayloadSize: 200, Method: None, Experiment: tcp_res144p_payload_200, transmission: tcp, seq_bytes: 0, t: 0:00:15.144250, tr: 0:00:00.000998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 200, Method: None, Experiment: udp_res144p_payload_200, transmission: udp, seq_bytes: 1, t: 0:00:03.114556, tr: 0:00:00.006003, MSE: 24852.148980034723, SSIM: 0.06587414563426197}
{X: 192, Y: 144, PayloadSize: 205, Method: None, Experiment: tcp_res144p_payload_205, transmission: tcp, seq_bytes: 0, t: 0:00:14.922060, tr: 0:00:00.000999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 205, Method: None, Experiment: udp_res144p_payload_205, transmission: udp, seq_bytes: 1, t: 0:00:03.137636, tr: 0:00:00.002924, MSE: 24911.945855034723, SSIM: 0.0658502480738755}
